"asc_Op2","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_2","b_Sem_3","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,-306.512828538403
0,0,0,0,0,0,0,0,0,0,0,0,0,-306.512828538403
0,0,0,0,0,0,0,0,0,0,0,0,0,-306.512828538403
-0.0131199999850651,0.0720508995436831,-0.00918271320188069,0.0046933333396737,-0.0081066666643892,-0.00213333332794719,-0.00106666666397359,-0.001813333346945,-0.0034133333247155,-0.00437333332229173,-0.00863999999637599,-0.000959999997576233,-0.000213333332794719,-298.927008099268
-0.407504715285146,0.116368769960511,-0.457144202076126,0.130255602788897,-0.224873436951488,-0.079305439208804,-0.0358060790235628,-0.0640838140831858,-0.0746903419704679,-0.12724620086786,-0.236198861540685,-0.0270016024106667,-0.0154873197039906,-281.437892545553
-1.03650199867846,0.0703088355550933,0.0520427943722052,-0.0736642312285039,-0.665345447435362,-0.312899531368936,0.00522174686461736,-0.335294727029878,-0.34504753625209,-0.455648541103897,-0.651342032360249,0.0400957822424182,0.00782560245361425,-277.17526989255
-1.06214908517762,0.0775356640405352,-0.0227649505558981,-0.473557705484228,-0.768148135881355,-0.349550660551303,0.178865062662475,-0.534430179352957,-0.498780376624451,-0.6523469109299,-0.65439381572885,0.230153588704203,0.0550919052786487,-272.831392259563
-0.984881129568137,0.0749067108332862,-0.0367423906405484,-0.466148846410788,-0.967013173102328,-0.254540341876521,0.277150345356136,-0.612979889610545,-0.651675827471844,-0.707433945855589,-0.566077814332345,0.313591892935651,0.0828715411080649,-271.321589455191
-0.988968827723946,0.0714235656894639,-0.0948345062876777,-0.479433884151987,-0.80929978492514,0.0258533560526183,0.449356770420123,-0.674972457940475,-1.43189916271898,-0.608772830532199,-0.380905921131438,0.237017963962523,0.0325963682734946,-268.473019397883
-0.906600049425661,0.0703881265235832,-0.119437442282283,-0.427978908883024,-0.752445857268803,-0.0432160156527435,0.543541026574189,-0.630573975806516,-1.65541388000616,-0.569684133335127,-0.401845994643991,0.29155217416463,0.0418594429289978,-267.438903642376
-0.675569753491235,0.0711799001092058,-0.187965654197287,-0.476410286839794,-0.735359411241377,-0.0906513462984263,0.20794687334238,-0.458869333411152,-1.92203788489247,-0.56388215626261,-0.441437414905854,0.418760519742267,0.23099071148526,-266.751191954259
-0.623858035711538,0.0782705043502253,-0.224070481260669,-0.492696121276787,-0.760741488167692,-0.257130552013142,0.190232567789047,-0.484780732159139,-1.86301220707227,-0.512268686156832,-0.265193310032818,0.293889803486345,0.296694233137934,-266.483571356824
-0.568461695456534,0.0823429467521936,-0.232917441526045,-0.416792658916152,-0.665200214865141,-0.174820008606816,0.314222893168079,-0.610673632169305,-1.62662423374237,-0.520692725080575,-0.294888381412752,0.273534580183829,0.292416729768807,-265.881963388893
-0.659674544998173,0.084684423295039,-0.22258588091931,-0.43968736261245,-0.668937553061748,-0.068036039786266,0.45490335602463,-0.452587421814606,-1.41772535101689,-0.449238641330544,-0.253969530048342,0.400108303051902,0.114136682207269,-265.787305957979
-0.623728085386974,0.0832810683336774,-0.221601042784756,-0.453700327408322,-0.687102881431674,-0.0638708023050354,0.458213552192502,-0.438699300133907,-1.42379977393997,-0.475286164209372,-0.297345852384778,0.346075436929521,0.0617511092877301,-265.726662102886
-0.625432597345683,0.0810980949780184,-0.208824994390831,-0.415057508876829,-0.658203961703973,-0.0848051279242831,0.423747046572953,-0.476909298012223,-1.45689369205811,-0.531114635669198,-0.298349959189672,0.346648749134946,0.063452020415241,-265.615003400018
-0.63508939710053,0.0788212651889695,-0.202936101433837,-0.415924518307328,-0.664545819185117,-0.083515123820427,0.414669466737646,-0.523091138134793,-1.47998792273579,-0.455589205986037,-0.344521770855569,0.339114546488989,0.149173611005595,-265.580777658167
-0.637605879942976,0.0784574816412378,-0.201862090288845,-0.414325956082135,-0.660750057516766,-0.0802152698906964,0.42225511354502,-0.507202915651467,-1.4759742663239,-0.473636460317693,-0.341005751985592,0.331090030777323,0.167683269964683,-265.574473266312
-0.620467702428417,0.0786384715404678,-0.203142097345939,-0.40028154188123,-0.647079825275953,-0.100473848704849,0.389604987994771,-0.512333331418383,-1.44486546966482,-0.521310012607614,-0.307179842155714,0.344901301370308,0.112584271455202,-265.574109821615
-0.629877812961496,0.0782976297570669,-0.202182742976588,-0.407184492461548,-0.653599016551632,-0.0897087947819602,0.406542012850152,-0.508017564478155,-1.45759722096626,-0.496689327120991,-0.323713645905579,0.338073677655027,0.139406280463389,-265.561758074885
-0.629734985272884,0.0782224066847696,-0.202262222431999,-0.407207409281686,-0.653565797977502,-0.0897167690925582,0.40636988692529,-0.507917596383678,-1.45615455249154,-0.4962864085065,-0.323723136627892,0.338010333440393,0.139572475483667,-265.561728625564
-0.629739547941487,0.0781756006848042,-0.202318974592743,-0.407186730262953,-0.653535898756449,-0.0896742340859717,0.406327866460565,-0.507790433533328,-1.45554739027818,-0.496088543673226,-0.323686251637814,0.338023632868142,0.139546872065019,-265.561723849505
-0.629732354716213,0.0781775011134759,-0.202333340235884,-0.407185943269143,-0.653540089724577,-0.089677759303483,0.406327749740683,-0.507806558628438,-1.45554212475683,-0.496096444318931,-0.323690880241521,0.338020046891595,0.13955765283499,-265.561723835173
