"","asc_ruta1","asc_ruta2","b_tt","b_dt","b_Sem","b_CongCD","b_CongEF","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",0.0295598533994248,0.0150987955935954,-0.00126821758958698,0.0013735376066715,-0.00269500174097441,0.0102275710417614,0.0120555378997156,0.00115007082569143,0.00423712786804442,0.00116582429385409,0.000185857916968884,0.000152153679707722,-0.00191160840727238
"asc_ruta2",0.0150987955935954,0.0462924894161866,-0.000382569396344409,0.00301340485966514,-0.000251498045422868,0.0100508855743918,0.0100658697408235,-0.000120153076674808,0.0109652327149644,-0.00144756561344247,-0.000484217592330778,0.000241749956575404,-0.00584225172852954
"b_tt",-0.00126821758958698,-0.000382569396344409,0.0303804340207666,-0.00580608505729613,0.000276094699516845,-0.00698689806260176,-0.00605545668292419,-0.00207751022158081,-0.00460281265075187,-0.00239382255887439,5.87456030165486e-05,-0.00145754821081213,-0.00109911945343322
"b_dt",0.0013735376066715,0.00301340485966514,-0.00580608505729613,0.0381206347010158,0.00195646002745271,-0.00534194090043453,-0.00772852129835618,-0.000648705571748315,0.00429668561668951,-0.00400300241382431,-0.000865265762234666,-0.00115206612132023,-0.00229300775427527
"b_Sem",-0.00269500174097441,-0.000251498045422868,0.000276094699516845,0.00195646002745271,0.00729935251264339,0.00140370461759226,0.000687028881209164,-0.000263309065274944,0.00509658293480898,-0.000643512928176128,-0.00080969892510197,-0.000421765568616516,-0.00183832617162038
"b_CongCD",0.0102275710417614,0.0100508855743918,-0.00698689806260176,-0.00534194090043453,0.00140370461759226,0.0553352638985086,0.028960092167141,0.0035406199888718,0.0177315946252866,0.00195203973126426,-0.00186836769583692,0.000581119881206556,-0.00168944937467063
"b_CongEF",0.0120555378997156,0.0100658697408235,-0.00605545668292419,-0.00772852129835618,0.000687028881209164,0.028960092167141,0.0322687693211105,0.00233106178160307,0.0144681883015101,0.00108670651223296,-0.0015314969487544,0.000256825401902625,-9.75914464088981e-05
"b_ACC_1",0.00115007082569143,-0.000120153076674808,-0.00207751022158081,-0.000648705571748315,-0.000263309065274944,0.0035406199888718,0.00233106178160307,0.0277953281194708,0.000653185656257924,-3.39599493271643e-06,-0.000638735224944792,0.000396033244950365,0.000779664081568639
"b_ACC_2",0.00423712786804442,0.0109652327149644,-0.00460281265075187,0.00429668561668951,0.00509658293480898,0.0177315946252866,0.0144681883015101,0.000653185656257924,0.609364296345221,-0.0048079224453567,-0.00217871234947164,-0.0132953906082097,-0.0108352860812819
"b_SI_CAMFD",0.00116582429385409,-0.00144756561344247,-0.00239382255887439,-0.00400300241382431,-0.000643512928176128,0.00195203973126426,0.00108670651223296,-3.39599493271643e-06,-0.0048079224453567,0.0280672679207089,-0.00107139116105883,0.00299210255099745,0.0029974497159991
"b_SI_PANEL",0.000185857916968884,-0.000484217592330778,5.87456030165486e-05,-0.000865265762234666,-0.00080969892510197,-0.00186836769583692,-0.0015314969487544,-0.000638735224944792,-0.00217871234947164,-0.00107139116105883,0.0119889695468755,-0.000508065825486437,-0.00119224114988488
"b_SI_ZER",0.000152153679707722,0.000241749956575404,-0.00145754821081213,-0.00115206612132023,-0.000421765568616516,0.000581119881206556,0.000256825401902625,0.000396033244950365,-0.0132953906082097,0.00299210255099745,-0.000508065825486437,0.0177059736256617,-0.00139037737467131
"b_Si_MTRP",-0.00191160840727238,-0.00584225172852954,-0.00109911945343322,-0.00229300775427527,-0.00183832617162038,-0.00168944937467063,-9.75914464088981e-05,0.000779664081568639,-0.0108352860812819,0.0029974497159991,-0.00119224114988488,-0.00139037737467131,0.0294224090065212
