"asc_real","b_t","b_d","alpha","logLike"
0,1,1,2,-465.358544231124
0,1,1,2,-465.358544231124
0,1,1,2,-465.358544231124
-0.00151986778291757,0.429214072097238,0.950514890497288,2.00082515689428,-275.924500487527
0.330764942753522,0.313768657664014,0.388645888675123,1.95534190727699,-232.290444160909
0.227073585731297,0.301158762834328,0.302248747069879,1.94984445892036,-226.649131036797
0.356182051744634,0.20471260026117,0.467570311116672,1.8273790174751,-208.765184575526
0.229145149261915,0.136024111756426,0.356363677838768,1.53534858480504,-195.019855230774
0.00257495671735297,0.00100162382038402,0.144883394353045,0.753074785713075,-194.197905767194
0.0543327516148163,0.0880721499792425,0.122076603141071,1.51208872100809,-189.088029384414
0.101277845783442,0.0683764811311581,0.237050016211617,1.46671967477211,-188.571863353445
0.0881366491979963,0.0601327918568061,0.180897925231151,1.59364072098441,-188.475632042878
0.0879679489266084,0.0622368950436723,0.181260054880298,1.59368375007915,-188.466014048032
0.0808059484750376,0.0624699680944944,0.189797711130729,1.59488351278281,-188.457681765735
0.0791996850914777,0.0638630864968269,0.188772639346588,1.72789336064455,-188.439268820303
0.0992937195433304,0.064120180274128,0.205618915941252,1.91165208586241,-188.42134286449
0.120498509419908,0.0720162002753639,0.209418863756284,3.8509050187686,-188.288313052366
0.14275819046873,0.0700556197336553,0.208048838131364,4.54998511777327,-188.213127644375
0.191820395740209,0.0619116809725888,0.212009292955969,6.0711081229484,-188.11522958881
0.195628772824162,0.0617009009425273,0.212462629198354,6.53487010984328,-188.110042984201
0.195020702889225,0.0615634671523713,0.209293266185264,6.69783642157398,-188.109449679189
0.195016121837172,0.0615860511245392,0.20930803295952,6.69783667860627,-188.109447864506
